trade_date,total_news,avg_tone,positive_ratio,news_ma_5,news_std_5,news_zscore_5,news_ma_10,news_std_10,news_zscore_10,news_ma_20,news_std_20,news_zscore_20,news_daily_change,news_weekly_change,tone_ma_3,tone_volatility_3,tone_ma_5,tone_volatility_5,tone_ma_10,tone_volatility_10,tone_change,tone_momentum,pos_ratio_ma_5,pos_ratio_ma_10,pos_ratio_ma_20,pos_ratio_change,pos_ratio_acc,weighted_tone,quality_tone,combined_sentiment
2013/4/22,1404,1.93,0.886,980.8,247.4160464,1.710479196,1083.2,315.741385,1.016021387,1220.7,274.9246978,0.666728022,0.547960309,0.655660377,2.123333333,3.017548674,2.138,2.485767487,2.181,2.51382577,-0.38,-0.042,0.90282,0.88502,0.885335,-0.021210782,-0.017907545,13.98823968,1.70998,0.590003572
2013/4/23,1736,1.98,0.8911,1133,418.1291666,1.442138095,1077.2,300.9129811,2.189337255,1241.9,297.7368849,1.659518941,0.236467236,0.780512821,2.073333333,3.277743126,2.08,2.365248401,2.129,1.960642752,0.05,-0.0925,0.89868,0.88538,0.88633,0.005756208,0.02696699,14.77063124,1.764378,0.667740353
2013/4/24,1542,2.12,0.9209,1274.6,411.3864363,0.649997123,1128.2,333.8202444,1.239589291,1251.15,304.3023557,0.955792798,-0.111751152,0.848920863,2.01,1.563457706,2.094,2.361516462,2.123,1.939969072,0.14,-0.0955,0.90228,0.89133,0.89096,0.033441813,0.027685606,15.56394577,1.952308,0.704770766
2013/4/25,1750,2,0.8874,1467.8,344.8335831,0.818365768,1178.3,387.279127,1.476196263,1268.8,322.8774576,1.490348702,0.134889754,1.232142857,2.033333333,1.201998336,2.068,2.416369177,2.113,2.035750476,-0.12,-0.1125,0.89812,0.89616,0.88873,-0.036377457,-0.06981927,14.93588466,1.7748,0.669596821
2013/4/26,1359,1.89,0.794,1558.2,181.742125,-1.096058495,1213.9,385.7337741,0.376166179,1284.55,318.9940562,0.233389929,-0.223428571,0.498346196,2.003333333,1.826143477,1.984,1.386636218,2.078,2.177631741,-0.11,-0.1965,0.87588,0.89002,0.88269,-0.105251296,-0.068873839,13.63680356,1.50066,0.44668311
2013/5/2,894,1.96,0.877,822.4,230.9854974,0.309976171,1098,479.7323328,-0.425237129,1090.6,395.3424099,-0.497290438,0.358662614,0.858627859,2.056666667,3.223476384,2.006,2.533961326,2.018,2.058659758,0.04,-0.0935,0.8589,0.87089,0.877955,0.010601521,0.073047502,13.32177449,1.71892,0.492608034
2013/5/3,1121,2.02,0.9144,940.8,191.3130942,0.941911482,1036.5,425.1732327,0.198742521,1056.85,359.1049216,0.178638599,0.253914989,1.119092628,1.966666667,0.798999374,2.022,2.465408688,2.022,2.047749985,0.06,-0.0535,0.88526,0.87322,0.8793,0.042645382,0.032043861,14.18619353,1.847088,0.598056405
2013/5/6,1655,2.32,0.887,1016.2,411.6827662,1.551680207,878,358.957441,2.164602015,1045.95,401.5046011,1.516919104,0.913294798,1.515197568,2.136666667,2.521666116,2.078,2.21789089,2.062,2.343604062,0.27,0.008,0.87964,0.87367,0.881845,-0.027518912,-0.156774824,17.19621198,2.05784,0.722741193
2013/5/7,1605,2.3,0.8822,1158.4,476.5971045,0.937059826,990.4,395.0016034,1.555943051,1083.8,417.2348323,1.249176626,-0.03021148,0.795302013,2.223333333,2.388221095,2.146,2.385405626,2.076,2.598984417,-0.02,0.066,0.88068,0.86979,0.88132,-0.005411499,0.022107413,16.97745436,2.02906,0.702737184
2013/5/8,1477,2.07,0.7454,1229.6,495.8173051,0.498974113,1085.2,385.609993,1.016052507,1108.9,425.3655889,0.865373245,-0.079750779,0.317573595,2.23,2.205357114,2.156,2.241062248,2.089,2.488075562,-0.23,0.086,0.84688,0.86607,0.873,-0.155066878,-0.149655379,15.10778136,1.542978,0.440934858
